timestamp,city,temperature,description
2026-03-25T20:49:06.354Z,Ararangua,28.64,clear sky
2026-03-25T22:44:33.558Z,Ararangua,26.4,clear sky
2026-03-26T02:53:13.894Z,Ararangua,26.8,few clouds
2026-03-26T05:44:12.102Z,Ararangua,25.63,scattered clouds
2026-03-26T07:19:27.135Z,Ararangua,25.35,scattered clouds
2026-03-26T09:05:37.007Z,Ararangua,25.03,scattered clouds
2026-03-26T11:00:03.977Z,Ararangua,26.19,scattered clouds
2026-03-26T13:43:23.778Z,Ararangua,30.51,clear sky
2026-03-26T15:13:18.691Z,Ararangua,31.22,clear sky
2026-03-26T17:11:26.274Z,Ararangua,31.31,clear sky
2026-03-26T19:17:46.316Z,Ararangua,30.23,clear sky
2026-03-26T20:41:42.395Z,Ararangua,28.23,clear sky
2026-03-26T22:37:39.595Z,Ararangua,26.13,clear sky
2026-03-27T02:55:46.953Z,Ararangua,23.93,clear sky
2026-03-27T05:44:50.512Z,Ararangua,26.29,few clouds
2026-03-27T07:18:15.333Z,Ararangua,26.44,few clouds
2026-03-27T09:01:27.834Z,Ararangua,26.2,few clouds
2026-03-27T10:55:15.911Z,Ararangua,27.71,few clouds
2026-03-27T13:21:01.405Z,Ararangua,30.83,clear sky
2026-03-27T14:58:01.633Z,Ararangua,32.32,clear sky
2026-03-27T17:01:36.705Z,Ararangua,32.22,clear sky
2026-03-27T19:04:26.841Z,Ararangua,31.25,few clouds
2026-03-27T20:49:01.728Z,Ararangua,28.85,few clouds
2026-03-27T22:40:39.218Z,Ararangua,26.92,clear sky
2026-03-28T02:45:21.664Z,Ararangua,24.53,clear sky
2026-03-28T05:23:24.761Z,Ararangua,25.67,clear sky
2026-03-28T07:07:00.084Z,Ararangua,26.83,clear sky
2026-03-28T08:50:40.937Z,Ararangua,26.45,clear sky
2026-03-28T10:39:00.170Z,Ararangua,27.47,clear sky
2026-03-28T13:08:49.904Z,Ararangua,31,clear sky
2026-03-28T14:38:18.896Z,Ararangua,33.54,clear sky
2026-03-28T16:42:11.312Z,Ararangua,33.78,clear sky
2026-03-28T18:52:14.732Z,Ararangua,30.52,clear sky
2026-03-28T20:39:17.374Z,Ararangua,29.61,clear sky
2026-03-28T22:36:30.994Z,Ararangua,26.72,clear sky
2026-03-29T03:18:20.894Z,Ararangua,25.32,clear sky
2026-03-29T05:45:42.565Z,Ararangua,23.59,few clouds
2026-03-29T07:13:27.101Z,Ararangua,23.37,clear sky
2026-03-29T08:50:45.016Z,Ararangua,26.03,clear sky
2026-03-29T10:41:36.395Z,Ararangua,28.11,clear sky
2026-03-29T13:10:02.056Z,Ararangua,30.98,clear sky
2026-03-29T14:39:38.396Z,Ararangua,32.33,clear sky
2026-03-29T16:42:29.442Z,Ararangua,30.8,clear sky
